Voided Centres,Full Address,Postcode,Latitude,Longitude,TomTom Score,Match Type
Akerman Health Centre,"108 Northwood Street, Birmingham, B3 1TH",B3,52.485345,-1.907664,6.4865307808,Name match
Alexandra Avenue Health & Social Care Centre,"2 King Street, Nottingham, NG1 2AS",NG1,52.954309,-1.149257,11.4284639359,Name match
Baldry Gardens Primary Care Centre,"2 Garden Hill Road, Castle Douglas, DG7 3EE",DG7,54.94967,-3.92243,10.0095701218,Name match
Beaumont House,"1 Saint John's Place, Perth, PH1 5SZ",PH1,56.396192,-3.429602,6.028345108,Name match
Beckenham Beacon,"379-397 Croydon Road, Beckenham, BR3 3QL",BR3,51.40505,-0.03317,6.028345108,Name match
Bingfield Primary Care Centre,"2 Partridge Road, Tonypandy, CF40 2",CF40,51.6368,-3.4501,8.1687068939,Name match
Chadwell Heath Health Centre,"44 Freshwater Road, Dagenham, RM8 1SP",RM8,51.56709,0.13349,9.0503549576,Name match
Child and Family Health Centre,"120 Hotblack Road, Norwich, NR2 4HN",NR2,52.63835,1.26998,9.9294185638,Name match
Church Elm Lane Health Centre,"10A Charlotte Road, Dagenham, RM10 8TD",RM10,51.5401,0.1574,12.0296812057,Name match
Cloister Road Surgery,"41 Cloister Road, Acton, London, W3 0DF",W3,51.5214,-0.265575,8.1687068939,Name match
Comely Bank Clinic,"10-12 Comely Bank Avenue, Edinburgh, EH4 1EL",EH4,55.95924,-3.21875,7.1283354759,Name match
Cranham Health Centre,"46 Oak Avenue, Upminster, RM14 2LB",RM14,51.5504,0.2435,8.1687068939,Name match
East Ham Care Centre,"262 Shrewsbury Road, Green Street East, London, E7 8QP",E7,51.540929,0.043298,10.2679080963,Name match
Eltham Community Hospital,"30 Passey Place, Eltham, London, SE9 5DQ",SE9,51.44932,0.05364,8.1687068939,Name match
Evergreen Primary Care Centre,"Smythe Close, Lower Edmonton, London, N9 0TW",N9,51.6241,-0.060124,10.1855401993,Name match
Finchley Memorial Hospital,"32 Granville Road, North Finchley, London, N12 0JE",N12,51.605441,-0.176497,8.1687068939,Name match
Forest Road Health Centre,"121 Woodgrange Road, Forest Gate South, London, E7 0EP",E7,51.5514,0.0249,9.26628685,Name match
Garland Road Health Centre,"4 Bentham Road, Blackburn, BB2 4PN",BB2,53.7306,-2.50626,8.1057310104,Name match
Gracefield Gardens Health and Social Care Centre,"18 Queen's Road, Lower Edmonton, London, N9 0RB",N9,51.62464,-0.054949,12.0745782852,Name match
Grand Union Village,"6 Taywood Road, Northolt, UB5 6GX",UB5,51.531475,-0.376122,8.0439548492,Name match
Green Wrythe Lane Clinic,"Green Wrythe Lane, Carshalton, SM5 1JL",SM5,51.384889,-0.175008,9.6747875214,Name match
Hackney Ark,"16 Stoke Newington High Street, Stoke Newington, London, N16 7PL",N16,51.55765,-0.07415,3.9693980217,Name match
Hainault Health Centre,"123 Manford Way, Chigwell, IG7 4DF",IG7,51.6082,0.1033,8.1687068939,Name match
Hanley Road Primary Care Centre,"51 Hanley Road, Upper Holloway, London, N4 3DU",N4,51.56859,-0.11952,11.8540878296,Name match
Harold Hill Health Centre,"173 Gooshays Drive, Romford, RM3 9SU",RM3,51.6063,0.2253,10.1047258377,Name match
Heart of Hounslow Health Centre,"10 King Street, Castle Douglas, DG7 1AA",DG7,54.942509,-3.926795,8.0447254181,Name match
Holloway Community Health Centre,"60B Keighley Road, Halifax, HX2 8AL",HX2,53.743433,-1.881867,8.1057310104,Name match
Hornsey Neighbourhood Health Centre,"149 Park Road, Crouch End, London, N8 8",N8,51.584089,-0.131068,10.0095701218,Name match
